endTime,artistName,trackName,msPlayed
2019-07-30 23:07,"Tyler, The Creator",Glitter,158890
2019-07-31 1:34,Jay Rock,Redemption (feat. SZA),4899
2019-07-31 1:34,"Tyler, The Creator","Enjoy Right Now, Today",34071
2019-07-31 1:34,"Tyler, The Creator",Glitter,65913
2019-07-31 1:35,Playboi Carti,Magnolia,5456
2019-07-31 1:35,Joey Bada$$,Love Is Only a Feeling,2414
2019-07-31 1:35,A$AP Rocky,Sundress,2438
2019-07-31 1:37,Vince Staples,Don't Get Chipped,146610
2019-07-31 1:37,Famous Dex,JAPAN,1741
2019-07-31 1:37,Smino,Wild Irish Roses,673
2019-07-31 1:37,Big K.R.I.T.,Energy,2043
2019-07-31 1:37,Ab-Soul,Bloody Waters (with Anderson .Paak & James Blake),1555
2019-07-31 1:41,Big Sean,Play No Games,216653
2019-07-31 1:44,YG,Why You Always Hatin?,1671
2019-07-31 1:44,Bas,Tribe (with J. Cole),1369
2019-07-31 1:44,YG,Go Loko,173917
2019-07-31 1:45,YG,SUU WHOOP,79830
2019-07-31 1:49,YG,Toot It And Boot It,231061
2019-07-31 2:29,YG,Toot It And Boot It,243746
2019-07-31 2:33,Maxo Kream,3AM (feat. ScHoolboy Q),4373
2019-07-31 2:33,Dreamville,Sleep Deprived (with Lute & Omen feat. Mez & DaVionne),238453
2019-07-31 2:35,Jay Squared,Carmen,71183
2019-07-31 2:40,Magroove,B Cool (feat. Melanie Faye),5034
2019-07-31 2:40,Orion Sun,Mango (Freestyle / Process),290000
2019-07-31 2:40,88-Keys,That's Life (feat. Mac Miller & Sia),789
2019-07-31 2:40,Tessie,The Way,4770
2019-07-31 2:40,Daniel Caesar,ENTROPY,703
2019-07-31 2:41,Joey Bada$$,Love Is Only a Feeling,70997
2019-07-31 5:43,Bruno Major,Easily,210240
2019-07-31 5:43,Snoh Aalegra,Fool For You,8353
2019-07-31 5:46,SZA,20 Something,163861
2019-07-31 20:06,Big Sean,Play No Games,2786
2019-07-31 20:09,Ty Dolla $ign,Stealing,162066
2019-07-31 20:13,Big Sean,Play No Games,216653
2019-07-31 20:15,Joey Bada$$,Love Is Only a Feeling,131722
2019-07-31 20:22,Ty Dolla $ign,Stealing,162066
